"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.29742352854483e-30,0.532264219333842,0.355,0.287,9.18359408050031e-27,"0","LUC7L3"
5.33778511058399e-29,0.358247621591234,0.643,0.648,1.1406846781318e-25,"0","SF3B1"
2.49587524223417e-28,0.562688288064444,0.413,0.368,5.33368539265442e-25,"0","RAD21"
3.5940513129969e-28,0.468152282689487,0.378,0.294,7.68048765587437e-25,"0","SPOCK2"
3.7619332379094e-28,0.705842232339525,0.288,0.23,8.03925132941238e-25,"0","DCAF7"
3.83667118598506e-28,0.50251774252261,0.5,0.477,8.19896632445008e-25,"0","VPS13C"
4.74745272648942e-28,0.597623459618225,0.282,0.22,1.01453064765079e-24,"0","YWHAQ"
4.87498707860871e-28,0.378151058732662,0.581,0.564,1.04178473869868e-24,"0","SRSF5"
4.79623088136928e-26,0.552995438173497,0.342,0.282,1.02495453934862e-22,"0","NUCKS1"
7.52612137831191e-26,0.460695858353293,0.512,0.491,1.60833213854525e-22,"0","CD53"
2.28747933184482e-25,0.504012632931456,0.404,0.36,4.88834333215237e-22,"0","ARGLU1"
6.21727115587246e-25,0.576094797700678,0.303,0.246,1.32863084600994e-21,"0","C9orf78"
1.07681204896993e-24,0.413124344144953,0.312,0.24,2.30114734864875e-21,"0","GOLGA8A"
1.3684523860105e-24,0.373383346827248,0.544,0.527,2.92438274890444e-21,"0","EIF4B"
2.03293704011748e-24,0.684089474384841,0.263,0.21,4.34438645473106e-21,"0","CTSC"
2.24539365234927e-24,0.483015295811493,0.431,0.394,4.79840623507039e-21,"0","BCAS4"
4.16379977045407e-24,0.529968156337189,0.363,0.308,8.89804010946036e-21,"0","SPTAN1"
7.24827841058047e-24,0.500185026893684,0.457,0.435,1.54895709634105e-20,"0","LINC00657"
1.26797307534006e-23,0.625646308871636,0.366,0.325,2.7096584620017e-20,"0","SPEN"
5.20531541632668e-23,0.34246934721017,0.62,0.635,1.11237590446901e-19,"0","SRRM2"
6.28688396051661e-23,0.261827608329406,0.719,0.722,1.3435071023624e-19,"0","EIF1"
1.22776009743975e-22,0.554063531462175,0.411,0.385,2.62372332822875e-19,"0","CAPNS1"
1.70275203064954e-22,0.485009467572969,0.39,0.344,3.63878108949807e-19,"0","OGT"
5.45130872958122e-22,0.618955778677795,0.282,0.23,1.16494467551151e-18,"0","DNMT1"
7.16761736561117e-22,0.49383427191828,0.431,0.397,1.53171983103111e-18,"0","ANKRD12"
3.09066025621649e-21,0.381297236773724,0.446,0.398,6.60474096753464e-18,"0","PLAC8"
